player_id,player_name,at_bat,rbi_average,hit_average,line_average,ground_average,fly_average,strikeout_average,lineup_position
jonea003,Adam Jones,5347,0.1388,0.2768,0.1616,0.3868,0.2583,0.2035,3         
philb001,Brandon Phillips,6783,0.1311,0.2747,0.1875,0.4141,0.2624,0.1492,4         
fielp001,Prince Fielder,5821,0.1766,0.2826,0.1754,0.346,0.2908,0.1984,4         
crawb001,Brandon Crawford,2681,0.1291,0.2518,0.1954,0.3689,0.2305,0.2182,8         
grany001,Yasmani Grandal,1402,0.1519,0.2375,0.1598,0.3459,0.2325,0.271,5         
mccab002,Brian McCann,5252,0.1691,0.266,0.1653,0.3155,0.3574,0.1719,5         
cabrm001,Miguel Cabrera,7851,0.1978,0.3209,0.1928,0.3465,0.2787,0.1928,3         
bourm001,Michael Bourn,4784,0.0757,0.2659,0.1584,0.4411,0.181,0.2349,1         
smoaj001,Justin Smoak,2555,0.128,0.2235,0.1656,0.2935,0.2763,0.2701,5         
blacc001,Charlie Blackmon,2242,0.112,0.2975,0.2533,0.3457,0.244,0.1713,1         
bradj001,Jackie Bradley,1258,0.1351,0.2369,0.1463,0.3537,0.2202,0.2893,9         
reddj001,Josh Reddick,2658,0.1302,0.2555,0.1983,0.2942,0.3277,0.1892,3         
hanir001,Ryan Hanigan,1858,0.1087,0.2503,0.1975,0.4338,0.2395,0.1421,8         
aschc001,Cody Asche,1181,0.1058,0.2405,0.2108,0.3082,0.2244,0.2625,6         
cainl001,Lorenzo Cain,2209,0.1231,0.2875,0.1992,0.3834,0.215,0.2119,3         
blana001,Andres Blanco,1061,0.0905,0.2639,0.196,0.4364,0.2385,0.1583,9         
ackld001,Dustin Ackley,2126,0.1016,0.2408,0.1797,0.3735,0.2601,0.1976,1         
blang001,Gregor Blanco,2516,0.0835,0.2583,0.186,0.3951,0.2174,0.2162,1         
pench001,Hunter Pence,5354,0.1468,0.2839,0.1425,0.4165,0.2432,0.2036,5         
